id,name,threshold,percentage,merchant_id,created_at,updated_at
1,Threeteen,3,13,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
2,Fourscore,4,20,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
3,Ninetwentynine,9,29,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
4,Twentyfifty,20,50,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
5,Hundredseventyfive,100,75,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
6,Twotwo,2,2,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
7,Threethree,3,3,2,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
8,Threeteen,3,13,2,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
9,Fourscore,4,20,3,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
10,Ninetwentynine,9,29,4,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
11,Twentyfifty,20,50,5,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
12,Hundredseventyfive,100,75,6,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
13,Twotwo,2,2,7,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
14,Threethree,3,3,8,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
15,Threeteen,3,13,9,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
16,Fourscore,4,20,10,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
17,Ninetwentynine,9,29,11,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
18,Twentyfifty,20,50,12,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
19,Hundredseventyfive,100,75,13,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
20,Twotwo,2,2,14,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
21,Threethree,3,3,12,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
22,Fourscore,4,20,15,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
23,Ninetwentynine,9,29,16,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
24,Twentyfifty,20,50,17,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
25,Hundredseventyfive,100,75,18,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
26,Twotwo,2,2,19,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
27,Threethree,3,3,20,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
28,Threeteen,3,13,21,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
