id,name,description,unit_price,merchant_id,created_at,updated_at
1,Baked,Beans,5,2,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
2,Fried Egg,Sunny side up,10,2,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
3,Poached egg,Runny yolk,15,2,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
4,Has Browns,Fried,5,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
5,Retro Radio,Twist and Turn to your fav jams,10,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
6,Salted Pork,Aged,12.5,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
7,Pantry Ham,Smoked,5.5,6,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
8,Dried Fish,Icelandish Style,7.5,6,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
9,Canned Green Beans,Special Beans,12.5,6	,012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
10,Honey Smoked Salmon,Grandas Recepie,19,6,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
11,Dried Garlic Rope,Deters Vampires,4,6,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
12,Parsley,Fresh,1.9,3,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
13,Celery,From Johns Market Garden,6.5,3,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
14,Big pumpkin,50 pound pumpkin,15,4,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
15,Horse,Lively fella,10.8,4,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
16,Horse Shoes,Worth more than a horse,31,4,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
17,Barrel of Ale,Light notes of apricot,24,5,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
18,Wheel Barrow,Essential for party setup and clean up,49.5,5,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
