id,name,description,unit_price,merchant_id,created_at,updated_at
1,Item Qui Esse,Nihil autem sit odio inventore deleniti. Est laudantium ratione distinctio laborum. Minus voluptatem nesciunt assumenda dicta voluptatum porro.,75107,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
2,Item Autem Minima,Cumque consequuntur ad. Fuga tenetur illo molestias enim aut iste. Provident quo hic aut. Aut quidem voluptates dolores. Dolorem quae ab alias tempora.,67076,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
3,Item Ea Voluptatum,Sunt officia eum qui molestiae. Nesciunt quidem cupiditate reiciendis est commodi non. Atque eveniet sed. Illum excepturi praesentium reiciendis voluptatibus eveniet odit perspiciatis. Odio optio nisi rerum nihil ut.,32301,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
4,Item Nemo Facere,Sunt eum id eius magni consequuntur delectus veritatis. Quisquam laborum illo ut ab. Ducimus in est id voluptas autem.,4291,2,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
5,Item Expedita Aliquam,Voluptate aut labore qui illum tempore eius. Corrupti cum et rerum. Enim illum labore voluptatem dicta consequatur. Consequatur sunt consequuntur ut officiis.,68723,2,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
6,Item Provident At,Numquam officiis reprehenderit eum ratione neque tenetur. Officia aut repudiandae eum at ipsum doloribus. Iure minus itaque similique. Ratione dicta alias asperiores minima ducimus nesciunt at.,15925,2,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
7,Item Expedita Fuga,Fuga assumenda occaecati hic dolorem tenetur dolores nisi. Est tenetur adipisci voluptatem vel. Culpa adipisci consequatur illo. Necessitatibus quis quo velit sed repellendus ut amet.,31163,3,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
8,Item Est Consequuntur,Reprehenderit est officiis cupiditate quia eos. Voluptatem illum reprehenderit quo vel eligendi. Et eum omnis id ut aliquid veniam.,34355,3,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
9,Item Quo Magnam,Culpa deleniti adipisci voluptates aut. Sed eum quisquam nisi. Voluptatem est rerum est qui id reprehenderit. Molestiae laudantium non velit alias. Ipsa consequatur modi quibusdam.,22582,4,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
10,Item Quidem Suscipit,Reiciendis sed aperiam culpa animi laudantium. Eligendi veritatis sint dolorem asperiores. Earum alias illum eos non rerum.,34018,5,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
