id,item_id,invoice_id,quantity,unit_price,status,created_at,updated_at
1,1,1,5,13635,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,2,1,9,23324,pending,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,3,1,8,34873,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
4,4,1,3,2196,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
5,5,1,7,79140,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
6,6,1,5,52100,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
7,3,1,4,66747,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
8,5,1,6,76941,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
9,7,2,6,29973,pending,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
10,8,2,4,1859,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
11,9,2,3,30949,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
12,5,2,8,31099,pending,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
13,10,3,4,78660,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
14,11,3,7,4264,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
15,11,3,5,72018,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
16,12,3,9,72018,shipped,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
17,14,3,5,46383,packaged,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
18,12,3,5,78660,pending,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
19,5,3,8,48718,packaged,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
20,4,3,9,72018,pending,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
21,11,4,2,42203,pending,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
22,14,4,3,37333,packaged,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
23,9,5,1,66412,pending,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
24,5,5,10,49121,packaged,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
25,2,5,9,32346,shipped,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
26,8,5,10,73408,shipped,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
27,16,6,2,8342,shipped,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
28,19,6,3,48795,packaged,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
29,20,6,2,22098,packaged,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
